BPM,Temp,SR
82,35.8125,34
82,35.875,34
82,35.8125,38
82,35.875,36
82,35.8125,32
83,35.875,29
82,35.8125,34
81,35.875,31
81,35.875,29
82,35.8125,34
82,35.875,40
78,35.875,34
78,35.875,34
78,35.875,36
81,35.875,36
81,35.875,35
81,35.875,36
81,35.8125,36
83,35.875,35
83,35.875,39
83,35.875,38
82,35.875,33
82,35.9375,31
82,35.9375,32
82,35.875,31
77,35.875,31
75,35.875,30
77,35.875,32
77,35.875,31
83,35.875,29
80,35.875,29
79,35.875,34
79,35.875,28
83,35.875,23
67,35.875,25
60,35.875,37
57,35.875,32
61,35.8125,36
68,35.8125,36
74,35.875,35
80,35.8125,36
83,35.8125,41
78,35.8125,39
73,35.8125,37
70,35.8125,35
70,35.8125,43
77,35.8125,41
72,35.8125,40
65,35.8125,38
63,35.8125,37
64,35.8125,39
68,35.8125,39
74,35.8125,45
77,35.8125,45
80,35.8125,42
78,35.8125,41
80,35.8125,48
82,35.8125,49
83,35.8125,49
80,35.8125,46
80,35.8125,43
79,35.8125,42
80,35.8125,45
80,35.8125,43
81,35.8125,43
82,35.75,50
80,35.8125,48
80,35.8125,47
78,35.8125,46
79,35.75,46
79,35.8125,45
80,35.8125,44
82,35.8125,44
82,35.8125,42
80,35.8125,42
80,35.8125,40
76,35.8125,41
78,35.8125,44
77,35.8125,44
80,35.8125,44
80,35.8125,43
82,35.8125,43
80,35.8125,48
80,35.8125,49
76,35.8125,52
78,35.8125,52
78,35.8125,47
81,35.8125,45
80,35.8125,44
81,35.8125,44
81,35.8125,43
76,35.8125,41
75,35.875,41
75,35.8125,41
77,35.8125,41
77,35.8125,43
78,35.8125,42
79,35.8125,41
78,35.875,41
78,35.8125,41
81,35.875,41
81,35.8125,40
81,35.875,40
80,35.8125,40
80,35.8125,40
81,35.8125,39
82,35.875,39
82,35.875,40
81,35.8125,39
79,35.875,40
77,35.875,39
80,35.875,39
80,35.875,39
77,35.875,35
76,35.875,35
74,35.875,35
78,35.8125,35
74,35.875,35
74,35.875,35
74,35.875,35
77,35.875,36
76,35.875,35
78,35.875,36
79,35.875,36
81,35.875,35
81,35.875,34
77,35.875,34
78,35.875,34
80,35.875,34
80,35.875,33
78,35.875,35
78,35.875,38
79,35.875,38
82,35.875,41
81,35.875,40
81,35.875,40
82,35.875,40
80,35.875,40
80,35.8125,39
77,35.875,40
80,35.875,42
78,35.875,41
81,35.8125,39
77,35.875,38
78,35.875,38
77,35.875,37
76,35.875,37
75,35.9375,37
81,35.875,37
82,35.875,39
83,35.875,38
82,35.875,38
83,35.9375,37
81,35.875,36
81,35.875,36
